state initials,county name,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,year
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Middlesex County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
MA,Norfolk County,1842,2034,2470,3072,3349,2021
